wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.977171413,0.9999882524,1.174758423e-05,0.8827360961,3320.092942,0.03271035633
304.0272895,0.9772141262,0.9999883507,1.164930835e-05,0.8832753005,3320.961507,0.03277324671
308.1086425,0.9773037841,0.999988454,1.15459664e-05,0.8833835732,3321.408326,0.0329017824
312.2447849,0.9773778415,0.9999885562,1.144379944e-05,0.883648101,3320.214859,0.03302732573
316.436452,0.9774556873,0.9999886695,1.133048652e-05,0.8839934167,3320.418303,0.03314681765
320.6843893,0.9775595364,0.9999887948,1.120520149e-05,0.88419878,3323.175994,0.03327808601
324.9893522,0.9776657784,0.9999889171,1.108286331e-05,0.8843574614,3323.656071,0.03343630499
329.3521062,0.9777217369,0.9999890347,1.096533936e-05,0.8850012551,3321.4662,0.03355487098
333.7734272,0.9778453415,0.9999891673,1.083270954e-05,0.8851055582,3322.692638,0.03373375869
338.2541012,0.9779617733,0.9999892918,1.070818618e-05,0.8852085268,3320.537273,0.03393799451
342.7949252,0.9780793119,0.9999894315,1.056847301e-05,0.8854734004,3322.195734,0.03410990821
347.3967065,0.9781937104,0.9999895646,1.043536186e-05,0.8857120507,3322.759034,0.03428951174
352.0602635,0.9783038058,0.9999897122,1.028780978e-05,0.8861680355,3323.25908,0.03446872006
356.7864255,0.9784500621,0.9999898554,1.01446115e-05,0.8862056181,3323.976938,0.03469860945
361.576033,0.9785673956,0.9999899991,1.00009093e-05,0.8865714465,3324.05806,0.03489670813
366.4299375,0.9787260554,0.9999901348,9.865210907e-06,0.8864157819,3321.188099,0.03518747663
371.3490023,0.9788350121,0.999990266,9.73403066e-06,0.8867558664,3321.042176,0.03537864532
376.3341021,0.9790080137,0.9999904314,9.568565222e-06,0.8868172064,3323.302274,0.03565046292
381.3861233,0.97914414,0.9999905813,9.418681968e-06,0.8871143399,3323.866086,0.03588537013
386.5059644,0.9792951235,0.9999907312,9.268787718e-06,0.8872663181,3324.999405,0.03614060528
391.6945358,0.9794338931,0.9999908726,9.127425826e-06,0.8874655209,3323.676385,0.0364055321
396.9527601,0.9795779842,0.9999910089,8.991142982e-06,0.8875583816,3322.841188,0.03667628635
402.2815723,0.9797211945,0.9999911544,8.845583522e-06,0.8877933369,3324.808967,0.03692090189
407.6819202,0.9798781568,0.9999912862,8.713777494e-06,0.8877149789,3323.483639,0.03722537139
413.1547639,0.9800281405,0.9999914288,8.571212989e-06,0.8878687041,3325.501137,0.03748827534
418.7010767,0.9801662128,0.999991576,8.423973634e-06,0.8882384783,3328.712262,0.03772304604
424.3218448,0.9803032312,0.9999916959,8.304055571e-06,0.8882747251,3326.58582,0.03801329933
430.0180679,0.9804401259,0.9999918196,8.180384299e-06,0.8883760878,3329.042674,0.038255989
435.7907587,0.9805370719,0.9999919097,8.090250126e-06,0.8884917767,3324.640353,0.03850183658
441.6409438,0.9806208266,0.9999920047,7.995278819e-06,0.8888360779,3326.050503,0.03866064629
447.5696636,0.9807275994,0.9999920707,7.929289532e-06,0.8885157066,3323.349376,0.03890208413
453.5779723,0.9807850696,0.9999921489,7.851072525e-06,0.8889472174,3327.468782,0.03898025102
459.6669383,0.9808363617,0.999992203,7.796992715e-06,0.8891148383,3326.784455,0.03909717918
465.8376444,0.980832813,0.9999922004,7.799551092e-06,0.88911995,3322.689135,0.03913815075
472.0911879,0.9808146776,0.999992192,7.80802828e-06,0.8892113689,3324.72317,0.03907873928
478.4286808,0.9807301279,0.9999921381,7.861906797e-06,0.8894337895,3327.356099,0.03887928162
484.8512502,0.9805898113,0.9999920264,7.973572023e-06,0.8894956124,3326.067581,0.03861150027
491.360038,0.9801337397,0.9999916366,8.363389669e-06,0.8894086001,3329.020896,0.03768056414
497.9562017,0.980128335,0.9999916619,8.338126771e-06,0.8898032752,3328.10409,0.03768845317
504.6409143,0.979765287,0.9999913442,8.655812963e-06,0.889716287,3327.73332,0.03700737976
511.4153645,0.9794224754,0.9999910509,8.949086803e-06,0.8897881057,3326.412849,0.03639990858
518.2807569,0.9789686446,0.999990633,9.367006343e-06,0.8896205371,3326.355478,0.03560312242
525.2383124,0.9783195542,0.9999900769,9.923065175e-06,0.8900424303,3326.430888,0.0345319459
532.2892682,0.9777277966,0.9999895297,1.047032819e-05,0.890132243,3327.026794,0.03359921852
539.4348781,0.9770415057,0.9999888324,1.116759255e-05,0.8897991591,3327.084833,0.0325763695
546.6764128,0.976194472,0.9999880369,1.196305831e-05,0.8903021018,3329.252781,0.03139067389
554.0151601,0.9753366239,0.9999871147,1.288529104e-05,0.8900247191,3327.846829,0.03029302442
561.4524249,0.9744222808,0.9999861572,1.384281441e-05,0.8902577815,3335.092976,0.0291357174
568.9895297,0.9734455637,0.9999850591,1.49408882e-05,0.8902227468,3330.543387,0.02808689347
576.6278149,0.9720688797,0.9999834914,1.650857319e-05,0.8905313343,3330.513317,0.02668704776
584.3686387,0.9713241851,0.9999825276,1.747241188e-05,0.8901690576,3331.58205,0.02597010159
592.2133776,0.9699937755,0.9999808616,1.913839939e-05,0.8902880571,3337.257893,0.02475995121
600.1634267,0.9689487016,0.999979499,2.050098302e-05,0.8903802387,3332.200903,0.02395037687
608.2201996,0.9674289263,0.9999773824,2.261763773e-05,0.8902681369,3331.712861,0.02281579808
616.385129,0.9655500195,0.999974783,2.521698223e-05,0.8908639592,3328.54017,0.02157649107
624.6596668,0.963357337,0.9999715048,2.849515833e-05,0.8912568924,3332.260861,0.02024246161
633.0452845,0.960188053,0.9999660808,3.391923374e-05,0.8907289757,3333.779521,0.01858479622
641.5434733,0.9592783931,0.9999645764,3.542363112e-05,0.8910336956,3332.35168,0.01817120655
650.1557442,0.9571932157,0.9999608648,3.913520676e-05,0.8913102379,3329.396687,0.01728395422
658.8836289,0.9548895404,0.99995635,4.364995571e-05,0.8911156441,3336.971195,0.01634147986
667.7286793,0.9528577904,0.9999521046,4.789541576e-05,0.8908486073,3326.839037,0.01566488165
676.6924683,0.9430505703,0.9999292076,7.079244931e-05,0.8906543815,3334.740931,0.01286439658
685.7765898,0.9486651523,0.9999429448,5.705520201e-05,0.8908570934,3332.282096,0.01432849677
694.9826593,0.9455228181,0.9999358468,6.415322553e-05,0.8914107422,3332.055811,0.01348312597
704.3123139,0.9414785517,0.9999253515,7.464852569e-05,0.8910024475,3332.597677,0.01251810865
713.7672125,0.9375812336,0.9999153278,8.467220768e-05,0.8917997608,3334.605328,0.01170860432
723.3490365,0.9345644028,0.9999063282,9.367178496e-05,0.8914532416,3342.954619,0.01111985134
733.0594897,0.9324077781,0.9998998603,0.0001001396559,0.8915106693,3331.771607,0.01078830472
742.900299,0.9277227588,0.999885224,0.0001147760272,0.8918297074,3337.710036,0.01004591553
752.8732142,0.9221233548,0.9998654361,0.0001345638666,0.8914588822,3333.23508,0.009304425255
762.9800088,0.9153672606,0.9998397301,0.0001602699221,0.8913871556,3332.923923,0.008528893484
773.2224801,0.9083377902,0.9998106045,0.0001893955289,0.8914674194,3336.670901,0.007834311393
783.6024493,0.9012839865,0.9997791351,0.000220864887,0.8917693499,3339.643921,0.007239303421
794.1217624,0.8950643788,0.9997477652,0.0002522348467,0.8914105069,3333.85156,0.006795864572
804.7822898,0.8913382008,0.9997300576,0.0002699424396,0.8920963264,3334.941444,0.006548617069
