wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.993075988,0.9999989487,1.051342492e-06,0.8839454301,330.7953558,1.092464153
304.0272895,0.9931160883,0.9999989637,1.036329348e-06,0.8842610498,330.8255943,1.098935257
308.1086425,0.9931512885,0.9999989765,1.023525108e-06,0.8845086477,330.7976892,1.10484262
312.2447849,0.9931990464,0.9999989925,1.007543358e-06,0.8847037808,330.8104233,1.112701946
316.436452,0.9932359164,0.9999990054,9.945727824e-07,0.88493937,330.8215292,1.118891516
320.6843893,0.9932693771,0.9999990174,9.826000694e-07,0.8851872923,330.7818563,1.124756937
324.9893522,0.9933027127,0.9999990298,9.702450204e-07,0.8854954418,330.8112738,1.130459832
329.3521062,0.9933468081,0.9999990446,9.554453839e-07,0.8857370309,330.8281239,1.138066925
333.7734272,0.9933814817,0.9999990571,9.42938313e-07,0.8860438892,330.8217427,1.144258625
338.2541012,0.9934202663,0.9999990703,9.296977537e-07,0.8863108339,330.821079,1.151192662
342.7949252,0.9934520801,0.9999990818,9.182240013e-07,0.8866162894,330.8132116,1.157020426
347.3967065,0.9934881765,0.9999990942,9.057653032e-07,0.8869069333,330.8447037,1.163525013
352.0602635,0.9935183645,0.9999991044,8.95640962e-07,0.8871232931,330.8249479,1.169166855
356.7864255,0.9935693335,0.9999991203,8.796680757e-07,0.887365827,330.8466701,1.178539856
361.576033,0.9936015759,0.9999991305,8.694905512e-07,0.8875402419,330.8425593,1.184623301
366.4299375,0.9936467609,0.9999991443,8.557463197e-07,0.8877325158,330.8439394,1.193193926
371.3490023,0.9936658407,0.9999991512,8.488114503e-07,0.8879681508,330.8692359,1.196858197
376.3341021,0.9937180825,0.9999991667,8.332684965e-07,0.8881765074,330.8342,1.20710632
381.3861233,0.9937534372,0.9999991772,8.228338153e-07,0.8883190978,330.8734241,1.213909134
386.5059644,0.9937868438,0.9999991874,8.125812309e-07,0.888517478,330.8589846,1.220639345
391.6945358,0.9937284387,0.9999991735,8.264906607e-07,0.8887182415,330.8591055,1.20936219
396.9527601,0.9934838595,0.9999991092,8.907507427e-07,0.8889294697,330.8649679,1.16392652
402.2815723,0.9932720287,0.9999990513,9.487039019e-07,0.8890602101,330.8754914,1.127194349
407.6819202,0.9930843736,0.9999989992,1.000783943e-06,0.8892573736,330.853096,1.096686351
413.1547639,0.9928507566,0.9999989317,1.068319857e-06,0.8894115253,330.8636178,1.060769669
418.7010767,0.992576712,0.9999988496,1.150429129e-06,0.8895747663,330.8838098,1.021485125
424.3218448,0.9920495321,0.9999986819,1.318143305e-06,0.8897616587,330.9088582,0.9535048339
430.0180679,0.9914877082,0.9999984896,1.510391441e-06,0.8898739676,330.858355,0.890492351
435.7907587,0.9903751335,0.9999980693,1.930701285e-06,0.8900234624,330.8958317,0.7870594772
441.6409438,0.9892739968,0.9999976025,2.397454616e-06,0.8901665414,330.9233874,0.7058361056
447.5696636,0.9880319466,0.9999970134,2.98663849e-06,0.8902473493,330.8706086,0.6322890996
453.5779723,0.9866993915,0.9999963113,3.688704662e-06,0.8904060682,330.9026909,0.5685257122
459.6669383,0.9853405409,0.9999955164,4.483645878e-06,0.8904999769,330.914824,0.5154550763
465.8376444,0.9833650747,0.9999942212,5.778848671e-06,0.890631774,330.9009906,0.4538084619
472.0911879,0.9815465215,0.999992885,7.115015068e-06,0.8907916567,330.9502301,0.4086576491
478.4286808,0.9793842747,0.9999911096,8.890383821e-06,0.8909209806,330.9480038,0.365394861
484.8512502,0.9767856862,0.999988703,1.129701779e-05,0.8909957798,330.9320483,0.3240631874
491.360038,0.9740886747,0.9999858954,1.41045662e-05,0.8910830779,330.9237047,0.289926875
497.9562017,0.9712474051,0.9999826055,1.739454971e-05,0.8912508337,330.9248553,0.2608937718
504.6409143,0.9681811233,0.9999786402,2.135983847e-05,0.8913233276,330.9843663,0.2353231597
511.4153645,0.9650124053,0.9999741034,2.589658147e-05,0.891404851,330.9609803,0.2136625578
518.2807569,0.9617166903,0.9999689391,3.10608601e-05,0.8916039554,330.9743788,0.1949270067
525.2383124,0.9580277785,0.999962532,3.746799414e-05,0.8916611434,331.0059172,0.1774210034
532.2892682,0.9544651604,0.9999557527,4.424732109e-05,0.8917243803,330.8643946,0.1632918565
539.4348781,0.9507032252,0.9999479686,5.203143776e-05,0.8918213832,330.926918,0.1504942447
546.6764128,0.9467443359,0.9999390636,6.093635639e-05,0.8919221891,330.8722125,0.1390292416
554.0151601,0.9425846542,0.9999289264,7.107356525e-05,0.8920512551,330.960208,0.1286305069
561.4524249,0.9385762403,0.9999183454,8.165455526e-05,0.8921269535,330.9346643,0.1199790213
568.9895297,0.9343815552,0.9999064358,9.356424576e-05,0.892203655,330.8906623,0.1120624857
576.6278149,0.9300643929,0.9998933371,0.0001066628673,0.892344972,331.1740228,0.1048052593
584.3686387,0.925484672,0.9998783634,0.0001216365578,0.8924220515,331.0056654,0.09816103286
592.2133776,0.9217005234,0.9998652223,0.0001347776587,0.8925096725,331.1155538,0.09318798286
600.1634267,0.9176445124,0.9998502221,0.0001497779132,0.8925249017,331.0416781,0.08841238233
608.2201996,0.912099511,0.9998284042,0.0001715957965,0.8926037766,330.8938358,0.0826102867
616.385129,0.90490785,0.9997977669,0.0002022330595,0.892749563,331.0752125,0.07600790766
624.6596668,0.8975921786,0.9997635072,0.0002364927593,0.8927814704,331.0427925,0.07028420256
633.0452845,0.8903394046,0.9997269019,0.0002730980597,0.8929411977,331.093116,0.06535074839
641.5434733,0.8844216308,0.9996946351,0.0003053649287,0.8929908348,331.078267,0.06179128549
650.1557442,0.8775997749,0.9996549504,0.0003450496358,0.8930617424,330.9553037,0.05813339991
658.8836289,0.8707781556,0.9996128245,0.0003871755402,0.8932204611,331.0494197,0.05482753985
667.7286793,0.864346451,0.9995694627,0.0004305372813,0.893090219,331.1493036,0.05200520919
676.6924683,0.8589081936,0.9995319986,0.0004680014078,0.8932829619,331.0098094,0.04986092249
685.7765898,0.8516204398,0.9994775203,0.0005224796921,0.8932351758,331.1487463,0.04717890179
694.9826593,0.8419901419,0.99940112,0.0005988800368,0.893364914,331.1136832,0.04404705345
704.3123139,0.8308378525,0.9993056261,0.0006943738927,0.8936221553,331.0583003,0.04086843445
713.7672125,0.8195898847,0.9991990244,0.000800975559,0.8936418827,331.1147716,0.03804126808
723.3490365,0.8110903385,0.9991132827,0.0008867173486,0.8937766387,331.0409629,0.03614233958
733.0594897,0.8048847995,0.9990467108,0.0009532891942,0.8938050076,331.0328211,0.03485374185
742.900299,0.7924927275,0.9989053522,0.001094647816,0.8939176572,331.2078086,0.03249205105
752.8732142,0.7768899081,0.9987085317,0.001291468256,0.8939547545,331.150121,0.02991317288
762.9800088,0.759437249,0.9984654282,0.001534571761,0.8941419312,331.0859086,0.02742409233
773.2224801,0.7400622968,0.9981584113,0.00184158867,0.894071201,331.1868385,0.02503219167
783.6024493,0.722586386,0.9978534242,0.002146575815,0.8942414095,331.0551864,0.02317706579
794.1217624,0.7072000189,0.9975594355,0.002440564452,0.894434077,331.0948775,0.02171491622
804.7822898,0.6969976,0.997347485,0.002652515024,0.8944549153,331.1661788,0.02082214987
815.5859273,0.6945660795,0.9973001329,0.002699867131,0.8946546667,331.1962318,0.02061933332
826.5345961,0.6937159081,0.9972805556,0.002719444353,0.8946118792,331.2413745,0.02054581275
837.6302431,0.6908721388,0.9972168226,0.00278317742,0.8945638526,331.201654,0.02031551735
848.8748414,0.6692120486,0.9967289152,0.00327108479,0.8952645442,331.1479288,0.01868522735
860.2703905,0.6456864961,0.9960978144,0.003902185624,0.8950179611,331.2100611,0.01712052301
871.8189168,0.6117325977,0.9950486959,0.004951304143,0.8950211586,331.1905459,0.01519713779
883.522474,0.5768084269,0.9937835822,0.006216417809,0.8954854938,331.2216294,0.01353268212
895.3831433,0.5571386398,0.9929631435,0.007036856546,0.8956941291,331.1785208,0.01270854934
907.4030337,0.5478971689,0.9925351541,0.007464845878,0.8956038393,331.2306856,0.01234112196
919.5842827,0.5373778521,0.9920778072,0.007922192808,0.8962406655,331.2276141,0.01194670334
931.9290565,0.524454698,0.9914364521,0.008563547949,0.8964225084,331.1219137,0.01148474628
944.4395501,0.5098160398,0.9906381766,0.009361823409,0.896414208,331.2407939,0.01098002904
957.1179884,0.4763304922,0.9885789738,0.01142102616,0.8965440467,331.1862233,0.009936193531
969.9666258,0.4336694041,0.9854188523,0.01458114767,0.8971183837,331.2892457,0.008769334944
982.9877471,0.3934915617,0.9817002908,0.01829970923,0.8977083257,331.1683998,0.007812274871
996.1836679,0.353486881,0.9771378298,0.02286217017,0.898728847,331.2365809,0.006960803377
1009.556735,0.3096776116,0.9706199111,0.02938008889,0.8995747207,331.1689631,0.006126597361
1023.109325,0.2890080254,0.9669017412,0.03309825884,0.9001968976,331.2765821,0.005760209194
1036.84385,0.2873091959,0.9665896977,0.03341030232,0.9003020716,331.3218824,0.005730350627
1050.762751,0.3024392177,0.9693439823,0.03065601772,0.8996836952,331.2252999,0.005995695253
1064.868504,0.3265015761,0.9733916641,0.02660833585,0.8994497996,331.2879753,0.006435203667
1079.163616,0.3419819306,0.9756449765,0.0243550235,0.8991572335,331.297,0.006731929176
1093.650631,0.346574607,0.9762921514,0.0237078486,0.8991557678,331.3138961,0.006822178181
1108.332123,0.3462271414,0.9761974716,0.0238025284,0.8989542289,331.3957912,0.006812960789
1123.210704,0.3345450854,0.9747083878,0.02529161216,0.8997794709,331.2926359,0.006589429248
1138.28902,0.3103833611,0.9709351252,0.02906487478,0.9002503367,331.3221084,0.006138454282
1153.569751,0.2887510945,0.9670293981,0.03297060192,0.9007564516,331.2409687,0.005757818666
1169.055615,0.2299525991,0.9531050767,0.04689492331,0.9029981718,331.3947168,0.004802414373
1184.749367,0.1846410204,0.9370803277,0.06291967234,0.9054049231,331.3234121,0.004136662539
1200.653796,0.1523450883,0.9209463011,0.0790536989,0.9078131398,331.3251482,0.003689157708
1216.77173,0.1150953986,0.8939131005,0.1060868995,0.9117834898,331.304395,0.003195459009
1233.106037,0.09935286076,0.8782890851,0.1217109149,0.9142130383,331.3574937,0.002992015548
1249.65962,0.09114323184,0.8686726679,0.1313273321,0.9157128259,331.3628462,0.002887221515
1266.435424,0.08895737798,0.8658537261,0.1341462739,0.9161053927,331.4167052,0.002858949466
1283.436431,0.09075248059,0.868371163,0.131628837,0.915925776,331.4636082,0.002881482436
1300.665664,0.09230343946,0.8703373199,0.1296626801,0.9156644137,331.3472058,0.002902258564
1318.126188,0.0934258795,0.8718664301,0.1281335699,0.9155814301,331.348838,0.002916643781
1335.821107,0.09363147179,0.8721987118,0.1278012882,0.9156083111,331.4214526,0.002918676585
1353.753569,0.09036776092,0.8682407039,0.1317592961,0.9162586442,331.4608135,0.00287681559
1371.92676,0.08571597029,0.8623285201,0.1376714799,0.9172978375,331.4863946,0.002817638056
1390.343914,0.07477227659,0.846084086,0.153915914,0.9197584957,331.3772878,0.002680330109
1409.008306,0.03900769763,0.7601201299,0.2398798701,0.9327560338,331.4441069,0.002232888689
1427.923254,0.01222015464,0.6070699923,0.3929300077,0.9591297262,331.4750258,0.001898216012
1447.092121,0.006788438124,0.5487175428,0.4512824572,0.9714688644,331.459885,0.001829506283
1466.518318,0.005537699415,0.5333026109,0.4666973891,0.9752976385,331.4740815,0.001813466864
1486.205297,0.005357427356,0.5311972268,0.4688027732,0.9759076385,331.4871457,0.001811090673
1506.15656,0.005345802314,0.5311409549,0.4688590451,0.9759550502,331.4953985,0.001810897277
1526.375655,0.005361054613,0.5314055519,0.4685944481,0.97591131,331.5061219,0.001811034141
1546.866177,0.005404387554,0.5320521459,0.4679478541,0.9757774536,331.5145068,0.001811543066
1567.63177,0.005506116879,0.5334293133,0.4665706867,0.9754525932,331.5213513,0.00181280702
1588.676127,0.005733312851,0.5364204304,0.4635795696,0.9747335445,331.5285088,0.001815672384
1610.002989,0.005981409377,0.5397239869,0.4602760131,0.9739751401,331.5434787,0.001818760035
